Employee_ID,Department,Job_Title,"Years of Experience",Education_Level,Performance_Score,Projects_Handled,Employee_Satisfaction_Score,Certifications,Skills,Hire_Date
1492,HR,Specialist,6,Bachelor,3,9,3.22,"IBM Certified Data Architect - Big Data, Google Cloud Professional Data Architect",C;C++;Java;Python;Git,22-06-2018
1493,HR,Manager,1,Bachelor,3,26,1.56,"AWS Certified Solutions Architect ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional, Google Cloud Professional DevOps Engineer",Assembly;C;Java;Kotlin;Rust;Docker;Git,27-09-2022
1494,"Customer Support",Developer,4,Master,3,18,2.45,"AWS Certified DevOps Engineer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional, Docker Certified Associate",Bash/Shell;C#;C++;Python;Git,30-08-2020
1495,IT,Developer,4,Bachelor,4,12,1.59,"Elastic Certified Engineer, Elastic Stack Certification","C#;C++;JavaScript;PowerShell;SQL;TypeScript;Docker;Git;Kubernetes;ASP.NET Core ;React.js;Heroku;Microsoft Azure;Microsoft SQL Server;PostgreSQL;Redis",20-07-2020
1496,HR,Developer,5,Bachelor,1,15,1,"Gerrit Code Review Certification (if available)",C++;SQL;Git;MongoDB;MySQL,11-08-2019
1497,Operations,Technician,9,Bachelor,5,3,3.02,"Certified Jenkins Engineer, AWS Certified DevOps Engineer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional","C#;HTML/CSS;JavaScript;Node.js;PowerShell;TypeScript;VBA;Docker;Kubernetes;Angular;ASP.NET;ASP.NET Core ;Express;Svelte;AWS;DigitalOcean;Microsoft Azure;Couchbase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite",18-11-2014
1498,HR,Consultant,2,Bachelor,2,19,2.34,"Atlassian Jira Administration Certification, AgilePM Certification",Bash/Shell;HTML/CSS;Java;Python;SQL;TypeScript;Ansible;Git;Terraform;Yarn;React.js;Spring;MySQL;SQLite,10-08-2022
1499,"Customer Support",Technician,8,Bachelor,5,7,3.21,"Certified Kubernetes Administrator (CKA), CNCF Kubernetes Security Specialist (CKS)","C;C#;HTML/CSS;Java;JavaScript;PHP;SQL;Docker;Git;Angular;ASP.NET Core ;jQuery;Spring;Microsoft SQL Server;MySQL;Oracle;SQLite",21-12-2015
1500,Marketing,Consultant,9,Bachelor,2,17,4.74,"Google Cloud Professional Machine Learning Engineer, AWS Certified Machine Learning ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Specialty",Bash/Shell;HTML/CSS;JavaScript;Python;SQL;Docker;Git;Django;FastAPI;Vue.js;Heroku;Oracle,12-02-2015
1501,Operations,Technician,6,Bachelor,5,8,4.86,"Microsoft Certified: Azure Data Scientist Associate, TensorFlow Developer Certificate","C#;VBA;Git;ASP.NET;Microsoft SQL Server;MySQL",19-02-2018
1502,HR,Analyst,9,PhD,3,42,3.68,"ITIL Foundation Certification, CompTIA IT Fundamentals+",Bash/Shell;JavaScript;Node.js;TypeScript;Terraform;AWS;DynamoDB,09-12-2014
1503,Finance,Technician,1,Bachelor,4,37,1.19,"AI-900: Microsoft Azure AI Fundamentals, Certified Artificial Intelligence Practitioner (CAIP)",HTML/CSS;JavaScript;SQL;TypeScript;Git;Express;Gatsby;React.js;AWS;Heroku;PostgreSQL;SQLite,26-04-2023
1504,Sales,Consultant,2,Master,5,9,1.21,"Cloudera Certified Professional (CCP), Google Cloud Professional Data Engineer",Bash/Shell;C;C++;Matlab;PowerShell;Python;Git,29-12-2021
1505,Operations,Consultant,9,Bachelor,3,47,3.59,"Certified Analytics Professional (CAP), Microsoft Certified: Data Analyst Associate",HTML/CSS;JavaScript;PHP;Git;jQuery;React.js,18-05-2015
1506,Legal,Specialist,2,Bachelor,3,7,4.92,"Google Cloud Professional Machine Learning Engineer, AWS Certified Machine Learning ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Specialty","Bash/Shell;C#; Core ;Django;Express;Flask;jQuery;Laravel;React.js;Spring;Vue.js;Google Cloud Platform;Microsoft Azure;Firebase;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL",17-11-2021
1507,Finance,Developer,0,Bachelor,1,31,3.73,"ITIL Foundation Certification, CompTIA A+",HTML/CSS;Python;R;Docker;Git;Flask;AWS;DynamoDB,14-01-2024
1508,Engineering,Engineer,2,Bachelor,3,45,1.37,"Puppet Certification, AWS Certified DevOps Engineer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional",Bash/Shell;Java;JavaScript;PHP;Python;Ansible;Git;PostgreSQL,21-02-2022
1509,Engineering,Developer,7,Bachelor,1,6,1.13,"Certified Jenkins Engineer, AWS Certified DevOps Engineer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional","Assembly;C;C#;Go;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript;Docker;Git;Yarn;ASP.NET;ASP.NET Core ;jQuery;React.js;Microsoft Azure;MariaDB;Microsoft SQL Server;MySQL;SQLite",19-07-2017
1510,Finance,Consultant,3,Bachelor,1,21,2.8,"Jenkins Certification, AWS Certified Developer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Associate","Dart;HTML/CSS;Java;JavaScript;Node.js;PowerShell;TypeScript;Docker;Git;Angular;Django;Express;jQuery;React.js;Vue.js;Google Cloud Platform;Firebase;MariaDB;MongoDB;MySQL;Oracle",27-01-2021
1511,Engineering,Specialist,4,Bachelor,5,13,4.29,"AWS Certified DevOps Engineer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional, Docker Certified Associate","C#;SQL;TypeScript;Docker;Kubernetes;ASP.NET Core ;AWS;Microsoft Azure;Elasticsearch;Microsoft SQL Server",26-02-2020
1512,Legal,Consultant,2,Bachelor,4,19,4.46,"Certified Kubernetes Administrator (CKA), Docker Certified Associate","Bash/Shell;C#;HTML/CSS;Julia;Matlab;Python;Git;Google Cloud Platform",17-02-2022
1513,IT,Developer,5,Bachelor,5,35,4.49,"Splunk Core Certified Power User, Splunk Enterprise Security Admin","C#;Clojure;Go;JavaScript;Python;SQL;Git;jQuery;Microsoft Azure;Microsoft SQL Server",20-04-2019
1514,IT,Analyst,3,Bachelor,2,36,1.59,"Microsoft Certified: .NET Developer, MCP: Programming in C#","Bash/Shell;C#;JavaScript;Node.js;PowerShell;Python;TypeScript;Docker;Git;Kubernetes;Puppet;Terraform;Unity 3D;ASP.NET;ASP.NET Core ;jQuery;React.js",11-08-2021
1515,IT,Specialist,9,Bachelor,2,46,2.41,"IAAP CPACC, W3C Web Accessibility Specialist","HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript;Docker;Git;Terraform;Yarn;Laravel;React.js;AWS;DigitalOcean;Google Cloud Platform;Heroku;Firebase;MongoDB;MySQL;PostgreSQL;SQLite",01-05-2015
1516,Finance,Technician,3,Bachelor,1,49,3,"Project Management Professional (PMP), Certified ScrumMaster (CSM)","Scala;Git;Google Cloud Platform;MongoDB",15-09-2020
1517,IT,Manager,8,Bachelor,5,4,1.68,"Associate Android Developer, Google Play Store Certification","Dart;JavaScript;Node.js;Docker;Git;Django;Vue.js;Google Cloud Platform;Firebase;PostgreSQL;SQLite",05-01-2016
1518,Sales,Specialist,3,Bachelor,2,7,1.7,"Red Hat Ansible Automation Certification, AWS Certified DevOps Engineer - Professional","C#;HTML/CSS;JavaScript;PHP;Docker;Git;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;AWS;Microsoft Azure;MariaDB;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite",21-12-2020
1519,"Customer Support",Specialist,5,Master,3,10,4.91,"AppDynamics Certification, Cisco Application Centric Infrastructure (ACI)",Python;Docker;Git;Django;AWS,24-07-2019
1520,HR,Consultant,8,Bachelor,2,33,1.28,"Certified Information Systems Security Professional (CISSP), Certified Ethical Hacker (CEH)","Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Git;Angular;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server",29-10-2015
1521,IT,Engineer,0,Bachelor,5,42,3.73,"JFrog Artifactory Certification, DevOps Institute Certifications","Go;JavaScript;Node.js;PHP;TypeScript;Git;React.js;Microsoft SQL Server",27-01-2024
1522,Marketing,Analyst,5,Bachelor,3,2,4.24,"AWS Certified DevOps Engineer - Professional, Docker Certified Associate","HTML/CSS;Java;JavaScript;Node.js;Python;SQL;Docker;Git;jQuery;Spring;Microsoft SQL Server;MongoDB;PostgreSQL",06-08-2019
1523,Sales,Developer,5,Bachelor,3,37,1.61,"AWS Certified Solutions Architect - Associate, AWS Certified Solutions Architect - Professional",HTML/CSS;JavaScript;Python;Docker;Angular.js;Django;React.js;DigitalOcean;MySQL;PostgreSQL;Redis,20-02-2019
1524,IT,Manager,9,Bachelor,2,8,3.61,"Microsoft Certified: Azure DevOps Solutions Expert, Azure Fundamentals","Bash/Shell;C#;Dart;Go;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript;Ansible;Docker;Git;Kubernetes;Terraform;Xamarin;ASP.NET;ASP.NET Core ;Express;Flask;React.js;AWS;Microsoft Azure;Couchbase;DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite",29-07-2015
1525,IT,Consultant,8,Master,4,47,4.27,"Atlassian Bamboo Certification, CI/CD Certifications",Bash/Shell;HTML/CSS;Java;JavaScript;PHP;Python;Scala;SQL;VBA;Git;jQuery;React.js;Vue.js;AWS;MySQL;Oracle;PostgreSQL,09-04-2016
1526,Operations,Manager,1,Bachelor,1,12,3.43,"Atlassian Bitbucket Certification, GitHub Proficiency Certifications",Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript;Docker;Git;Angular;React.js;Spring;MariaDB;MySQL;PostgreSQL,17-11-2022
1527,Marketing,Consultant,2,Bachelor,2,25,3.94,"Certified Blockchain Developer, Ethereum Developer Certification",HTML/CSS;JavaScript;Node.js;Git;Express;React.js;Heroku;MongoDB,02-08-2022
1528,Sales,Technician,5,Bachelor,4,0,1.44,"CBAP - Certified Business Analysis Professional, PMI-PBA - PMI Professional in Business Analysis","C#;HTML/CSS;JavaScript;SQL;VBA;Angular.js;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;DynamoDB;Elasticsearch;Microsoft SQL Server;SQLite",01-06-2019
1529,IT,Specialist,5,Bachelor,5,48,2.6,"Microsoft Certified: C# Programmer, .NET Framework Certification",C;C#;C++;Dart;HTML/CSS;Java;JavaScript;PHP;Python;Git;Kubernetes;Xamarin;Yarn;jQuery;Laravel;React.js;Symfony;Vue.js;AWS;DigitalOcean;Heroku;Firebase;MongoDB;MySQL;Redis;SQLite,17-11-2018
1530,"Customer Support",Consultant,9,Master,2,7,3.94,"Chef InSpec Certification, HashiCorp Terraform Associate",Bash/Shell;Python;Docker;Git;Puppet;AWS;MySQL,26-12-2014
1531,"Customer Support",Manager,3,Bachelor,4,23,2.94,"CompTIA Cloud+, Cloud Security Alliance CCSK","Kotlin;Objective-C;SQL;Swift;Git;AWS;Google Cloud Platform",21-08-2021
1532,Marketing,Specialist,5,Master,4,36,3.18,"Google Cloud Professional Cloud Architect, AWS Certified Solutions Architect","Bash/Shell;C#;HTML/CSS;JavaScript;TypeScript;Git;ASP.NET;Vue.js;AWS;Microsoft SQL Server",19-12-2018
1533,IT,Manager,8,Bachelor,5,15,1.83,"HashiCorp Terraform Associate, Azure Automation Certifications","C#;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;SQL;Git;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;Vue.js;Microsoft Azure;Elasticsearch;Microsoft SQL Server;MySQL;SQLite",06-04-2016
1534,HR,Manager,3,Bachelor,5,16,1.43,"Google Cloud Associate Cloud Engineering, CompTIA Cloud+","Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;Docker;Git;Kubernetes;Puppet;Unity 3D;Angular;jQuery;Laravel;React.js;Symfony;AWS;DigitalOcean;Elasticsearch;MySQL;SQLite",11-02-2021
1535,HR,Developer,1,Bachelor,3,10,4.6,"Cisco CCNA Cloud, Cisco CCNP Cloud","C#;Java;JavaScript;Python;SQL;Ansible;Chef;Docker;Terraform;Unity 3D;ASP.NET;ASP.NET Core ;Django;AWS;Microsoft Azure;Elasticsearch;MongoDB;MySQL;PostgreSQL;SQLite",28-08-2023
1536,IT,Developer,4,Master,5,43,2.81,"Certified Cloud Security Professional (CCSP), CompTIA Security+","Go;JavaScript;Python;SQL;TypeScript;VBA;Ansible;Docker;Git;Yarn;Django;FastAPI;Flask;Gatsby;jQuery;React.js;AWS;Google Cloud Platform;Microsoft Azure;Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite",14-09-2019
1537,Sales,Manager,0,Bachelor,5,37,1.27,"CNC Programming Certificate, Mastercam Certification","C#;Delphi;JavaScript;Node.js;TypeScript;Git;Angular;ASP.NET Core ;Microsoft Azure;Microsoft SQL Server",31-05-2024
1538,Marketing,Consultant,3,Bachelor,2,34,3.19,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates","JavaScript;Swift;TypeScript;Git;React.js;Google Cloud Platform;Firebase;PostgreSQL",02-01-2021
1539,Operations,Engineer,6,Master,1,24,3.98,"Adobe Creative Suite Certifications, Maya Certifications","C#;F#;SQL;Git;Microsoft SQL Server",21-10-2017
1540,Legal,Specialist,1,PhD,3,27,1.92,"CompTIA A+, Cisco CCNA",Bash/Shell;C;Dart;Go;HTML/CSS;JavaScript;Node.js;PHP;Python;TypeScript;Docker;Git;Kubernetes;Yarn;React.js;AWS;DynamoDB;Elasticsearch;MongoDB;MySQL;Redis;SQLite,23-02-2023
1541,Sales,Manager,9,Bachelor,4,30,1.83,"Cisco CCNP Network Design, Cisco CCIE Routing and Switching",C++;Java;Kotlin;Objective-C;Swift;SQLite,01-09-2015
1542,HR,Engineer,6,Bachelor,3,12,2.46,"Oracle Java Programmer Certification, Microsoft Technology Associate (MTA)","SQL;Git;jQuery;Google Cloud Platform;SQLite",04-08-2018
1543,Sales,Consultant,0,Bachelor,2,18,2.32,"Certified Data Scientist (CDS), IEEE Certified Artificial Intelligence Engineer",JavaScript;Node.js;PHP;TypeScript;Docker;Git;Angular;Express;Laravel;MariaDB;MongoDB;MySQL,26-10-2023
1544,"Customer Support",Manager,6,Bachelor,1,45,4.54,"Certified Business Analysis Professional (CBAP), ITIL Foundation Certification","C#;HTML/CSS;PowerShell;SQL;Git;Xamarin;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server",11-11-2017
1545,Legal,Analyst,3,Bachelor,1,20,4.09,"Atlassian Confluence Certification, AgilePM Certification","Bash/Shell;C;C++;Go;HTML/CSS;Java;JavaScript;Matlab;Node.js;Python;Scala;SQL;TypeScript;Unity 3D;Unreal Engine;Django;FastAPI;Flask;jQuery;React.js;MongoDB;MySQL;SQLite",05-12-2020
1546,Engineering,Engineer,3,Bachelor,4,32,2.81,"HashiCorp Certified: Consul Associate, Cloud Security Alliance CCSK",HTML/CSS;JavaScript;Node.js;PHP;PowerShell;Python;SQL;Git;Angular;Express;Gatsby;jQuery;React.js;Heroku;Firebase;MariaDB;MongoDB;MySQL;Redis,01-04-2021
1547,IT,Manager,6,Bachelor,5,24,4.42,"Python Institute Certifications, Certified Software Development Professional (CSDP)","C++;HTML/CSS;JavaScript;Node.js;Perl;PHP;SQL;Git;ASP.NET;Microsoft Azure;SQLite",10-01-2018
1548,Legal,Developer,8,Bachelor,3,28,3.44,"Microsoft Certified: Data Analyst Associate, Google Data Analytics Professional Certificate","JavaScript;Python;SQL;Docker;Git;Django;jQuery;Google Cloud Platform;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite",10-09-2015
1549,Operations,Technician,8,Bachelor,3,40,3.71,"Google Cloud Professional Data Engineer, AWS Certified Big Data ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Specialty",C++;Go;JavaScript;Node.js;Python;TypeScript;Docker;Git;Kubernetes;React.js;AWS;DynamoDB;Elasticsearch;MongoDB;Redis,28-08-2016
1550,Legal,Engineer,0,Bachelor,1,25,2.87,"IBM Certified Data Modeler, Data Management Association (DAMA) CDMP","C#;HTML/CSS;JavaScript;PowerShell;TypeScript;Git;Yarn;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;AWS;Google Cloud Platform;Microsoft Azure;Microsoft SQL Server;MongoDB;Redis",30-11-2023
1551,Marketing,Engineer,2,Bachelor,3,12,3.97,"Certified Analytics Professional (CAP), Microsoft Certified: Azure Data Scientist Associate",Assembly;Python,04-06-2022
1552,Marketing,Specialist,3,Bachelor,2,0,2.28,"Oracle Database SQL Certified Associate, Microsoft Certified: Azure Database Administrator Associate",Matlab,15-03-2021
1553,Finance,Manager,7,Bachelor,2,32,3.66,"Datadog Monitoring Certification, AWS Certified DevOps Engineer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional",JavaScript;PHP;SQL;React.js;Symfony;MySQL,04-08-2017
1554,HR,Technician,9,Bachelor,4,37,2.15,"CompTIA IT Fundamentals+, .NET Developer Certification",HTML/CSS;JavaScript;Python;SQL;Git;Flask;DigitalOcean;Heroku;SQLite,16-01-2015
1555,IT,Consultant,1,PhD,1,26,1.05,"AWS Certified Solutions Architect ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional, Google Cloud Professional DevOps Engineer","Python;R;Git;AWS;Microsoft SQL Server",30-11-2022
1556,Legal,Manager,7,Bachelor,4,7,3.21,"AWS Certified DevOps Engineer ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Professional, Docker Certified Associate","C;C#;C++;Java;Kotlin;PHP;SQL;Docker;Git;Kubernetes;Spring;Microsoft Azure;IBM DB2;Microsoft SQL Server;MySQL;Oracle;PostgreSQL",13-08-2017
1557,Engineering,Engineer,1,Bachelor,5,49,4.5,"Project Management Professional (PMP), Certified ScrumMaster (CSM)","Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript;Docker;Git;Angular;Spring;Google Cloud Platform;Oracle;PostgreSQL",26-09-2022
1558,IT,Developer,1,Bachelor,4,16,4.29,"Certified Information Systems Security Professional (CISSP), DevSecOps Foundation Certification",Go;JavaScript;Python;SQL;Docker;Git;DigitalOcean;Cassandra;Elasticsearch;PostgreSQL;Redis,14-06-2023
1559,Operations,Consultant,3,Bachelor,5,24,2.01,"Certified DevSecOps Practitioner, AWS Certified Security ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Specialty","Groovy;Java;Kotlin;Git;AWS;Google Cloud Platform;SQLite",08-11-2020
1560,Sales,Manager,1,PhD,1,34,4.34,"Project Management Professional (PMP), Executive Leadership Programs","Java;JavaScript;SQL;Git;jQuery;Spring;IBM Cloud or Watson;Microsoft Azure;IBM DB2;MariaDB;Microsoft SQL Server;MySQL",08-10-2022
1561,"Customer Support",Engineer,3,Bachelor,5,17,1.53,"Docker Certified Associate, AWS Certified Solutions Architect",C;C++;HTML/CSS;JavaScript,14-02-2021
1562,Marketing,Specialist,9,Master,2,29,2.82,"Elastic Certified Engineer, Elastic Stack Certification",C;C++;Delphi;Go;HTML/CSS;Perl;Python;R;Ruby;Rust;Docker;Git;Terraform;Django;Flask;AWS;DynamoDB;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,29-09-2014
1563,"Customer Support",Specialist,6,Master,3,44,2.27,"Certified Embedded Systems Engineer (CESE), Embedded C Programming Certification",C#;HTML/CSS;JavaScript;PHP;SQL;Docker;Git;Yarn;jQuery;React.js;Symfony;Vue.js;AWS;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis,30-08-2018
1564,Finance,Engineer,9,Bachelor,4,37,4.49,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates",Java;TypeScript;Git;Angular;Spring,22-04-2015
1565,"Customer Support",Engineer,3,Bachelor,5,9,4.79,"Cisco CCNA Routing and Switching, CompTIA Network+",HTML/CSS;Java;JavaScript;Node.js;TypeScript;Yarn;Angular;Express;React.js;Vue.js;AWS;DigitalOcean;MongoDB;MySQL;PostgreSQL,06-06-2021
1566,Marketing,Manager,8,Bachelor,4,20,2.65,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates","C;C#;C++;HTML/CSS;JavaScript;SQL;TypeScript;Docker;Git;ASP.NET;ASP.NET Core ;jQuery;Vue.js;IBM DB2;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite",28-06-2016
1567,"Customer Support",Consultant,7,Master,2,46,1.84,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates","Assembly;C#;C++;HTML/CSS;JavaScript;Python;R;TypeScript;Git;Angular;Angular.js;jQuery;React.js;DigitalOcean;Microsoft SQL Server;PostgreSQL;SQLite",13-08-2017
1568,Engineering,Consultant,3,Bachelor,5,22,3.33,"CompTIA IT Fundamentals+, Coding Bootcamp Certificates",C;C++;JavaScript;Objective-C;Python;Swift;TypeScript;Docker;Git;Flask;React.js;AWS;DynamoDB;PostgreSQL;Redis,11-10-2020
1569,IT,Developer,8,Master,2,2,2.02,"HTML/CSS/JavaScript Certifications, Coding Bootcamp Certificates","Bash/Shell;Go;HTML/CSS;JavaScript;Ruby;SQL;TypeScript;Chef;Docker;Git;Terraform;Angular;React.js;Ruby on Rails;AWS;DigitalOcean;Google Cloud Platform;MySQL;PostgreSQL;Redis",30-08-2016
1570,"Customer Support",Engineer,3,Bachelor,1,30,1.89,"Service Mesh Certifications, Cloud Native Computing Foundation Certifications",JavaScript;Python;Docker;Git;Flask;MariaDB;PostgreSQL,14-09-2020
1571,Marketing,Consultant,0,Bachelor,4,27,1.99,"Cloud Native Security Certifications, Kubernetes Security Specialist Certification","C#;HTML/CSS;SQL;TypeScript;Git;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;MySQL",31-10-2023
1572,Operations,Technician,6,Bachelor,4,11,4.27,"FluentD Certification (if available), Cloud Native Computing Foundation Certifications","C#;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript;VBA;Docker;Git;Angular;ASP.NET;ASP.NET Core ;jQuery;React.js;Microsoft Azure;MariaDB;Microsoft SQL Server;MySQL",15-11-2017
1573,Legal,Analyst,0,PhD,5,18,4.2,"Fortify Software Security Center Certification, Certified Ethical Hacker (CEH)","C#;Docker;Unity 3D;Xamarin;ASP.NET;ASP.NET Core ;Microsoft Azure;Microsoft SQL Server;SQLite",24-12-2023
1574,Legal,Consultant,7,Bachelor,3,20,1.15,"Framework-Specific Certifications (e.g., React, Angular), Agile Methodologies Certifications","C;C#;C++;HTML/CSS;JavaScript;Node.js;PHP;Python;R;SQL;TypeScript;Docker;Git;Yarn;Angular;Angular.js;Django;jQuery;Laravel;React.js;Symfony;AWS;DigitalOcean;Google Cloud Platform;Heroku;IBM Cloud or Watson;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite",28-03-2017
1575,Marketing,Manager,4,Bachelor,2,2,3.4,"JavaScript Developer Certificate, Front-End Web Developer Nanodegree","Ansible;Docker;Git;AWS;Microsoft SQL Server",22-06-2020
1576,Marketing,Consultant,9,Bachelor,3,26,4.84,"JavaScript Developer Certificate, Front-End Web Developer Nanodegree",Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL;Docker;Git;Kubernetes;Yarn;Express;React.js;Couchbase;Elasticsearch;MariaDB,05-04-2015
1577,IT,Engineer,0,Master,5,25,1.73,"Full Stack Web Development Bootcamp, JavaScript Developer Certificate","C#;HTML/CSS;Matlab;Python;R;SQL;Git;Django;Flask;AWS;Microsoft Azure;MySQL;PostgreSQL;SQLite",09-12-2023
1578,Operations,Consultant,3,Bachelor,3,38,4.67,"Oracle Java Programmer Certification, Spring Framework Certification",Bash/Shell;Java;JavaScript;Node.js;Python;TypeScript;Docker;Git;Kubernetes;Terraform;AWS;DynamoDB;MySQL;PostgreSQL;Redis,22-05-2021
1579,Sales,Developer,3,Bachelor,3,9,1.53,"Python Institute Certifications, Django for Everybody Specialization",Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Objective-C;PHP;SQL;Swift;TypeScript;Docker;Git;Yarn;Express;React.js;AWS;MySQL;SQLite,23-10-2020
1580,Operations,Engineer,9,Bachelor,5,8,4.84,"Unity Certified Developer, Game Design and Development Specialization","Bash/Shell;C;C++;Docker;Git;DigitalOcean;Google Cloud Platform",08-07-2015
1581,Finance,Developer,0,PhD,2,13,4.87,"Google Cloud Professional DevOps Engineer, Google Cloud Associate Cloud Engineer","C#;Java;Python;Docker;Git;Kubernetes;Xamarin;ASP.NET;ASP.NET Core ;FastAPI;Flask;React.js;Google Cloud Platform;PostgreSQL",15-09-2023
1582,IT,Analyst,3,Bachelor,3,23,4.89,"Gerrit Code Review Certification (if available), GitHub Proficiency Certifications","Bash/Shell;Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;Ruby;TypeScript;Ansible;Docker;Git;Kubernetes;Yarn;Express;FastAPI;Flask;Ruby on Rails;AWS;DigitalOcean;Microsoft Azure;Elasticsearch;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis",07-07-2021
1583,Sales,Technician,5,Master,2,19,2.84,"GitHub Proficiency Certifications, GitLab Certifications","Haskell;HTML/CSS;JavaScript;Node.js;TypeScript;Chef;Docker;Git;Yarn;Express;Gatsby;React.js;AWS;Google Cloud Platform;PostgreSQL;Redis",27-07-2019
1584,Operations,Manager,1,Bachelor,3,33,1.4,"GitHub Proficiency Certifications, GitLab Certifications","C#;Dart;HTML/CSS;JavaScript;Node.js;SQL;TypeScript;Git;ASP.NET;ASP.NET Core ;jQuery;Vue.js;IBM DB2;Microsoft SQL Server",04-06-2023
1585,Engineering,Manager,5,PhD,5,11,2.07,"GitLab Certified Associate, GitLab CI/CD Certification",Java;Kotlin;Git;SQLite,07-09-2018
1586,"Customer Support",Technician,1,Bachelor,1,16,3.03,"Gradle Certification, Java Developer Certification",Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;SQL;TypeScript;Docker;Git;Kubernetes;Angular;Spring;Vue.js;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,27-03-2023
1587,Sales,Specialist,0,Bachelor,1,12,1.32,"Grafana Certified Associate, Monitoring and Observability Certifications","Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Ruby;SQL;TypeScript;Docker;Git;Terraform;Angular.js;jQuery;React.js;Ruby on Rails;Spring;Vue.js;AWS;DigitalOcean;DynamoDB;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis",09-07-2024
1588,HR,Developer,9,Bachelor,5,21,2.5,"Groovy Certification, Java Developer Certification","Dart;HTML/CSS;JavaScript;Node.js;PHP;Docker;Git;Vue.js;Google Cloud Platform;MariaDB;Microsoft SQL Server;MySQL;SQLite",18-02-2015
1589,Finance,Engineer,7,Bachelor,5,15,2.62,"Certified Information Architect (CIA), User Experience Professional Certification","HTML/CSS;JavaScript;Node.js;Rust;TypeScript;Docker;Git;Unity 3D;Express;React.js;AWS;DigitalOcean;MySQL;PostgreSQL",15-03-2017
1590,Marketing,Technician,9,Bachelor,4,13,4.15,"Certified Information Systems Security Professional (CISSP), Certified Ethical Hacker (CEH)",Go;HTML/CSS;JavaScript;Python;SQL;TypeScript;Ansible;Docker;Git;Kubernetes;Terraform;Vue.js;AWS;Elasticsearch;PostgreSQL;Redis,17-06-2015
